罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,被害者の性別,被害者の年齢,現金被害の有無
窃盗,ひったくり,浦和,領家,111074,埼玉県,さいたま市浦和区,領家４丁目,20231231,4,道路上,女性,30歳代,なし
窃盗,ひったくり,浦和,北浦和駅西口,111074,埼玉県,さいたま市浦和区,針ヶ谷４丁目,20240313,19,道路上,女性,70歳以上,あり
窃盗,ひったくり,浦和,浦和駅前,111074,埼玉県,さいたま市浦和区,常盤６丁目,20240313,19,道路上,男性,40歳代,あり
窃盗,ひったくり,浦和,南浦和駅東口,111082,埼玉県,さいたま市南区,南浦和２丁目,20240824,1,その他,男性,40歳代,あり
窃盗,ひったくり,蕨,蕨駅東口,112232,埼玉県,蕨市,塚越１丁目,20240820,7,道路上,女性,40歳代,なし
窃盗,ひったくり,蕨,蕨駅東口,112232,埼玉県,蕨市,塚越５丁目,20240710,19,道路上,女性,30歳代,あり
窃盗,ひったくり,蕨,下戸田,112241,埼玉県,戸田市,下戸田２丁目,20240429,20,その他,女性,30歳代,なし
窃盗,ひったくり,蕨,笹目,112241,埼玉県,戸田市,氷川町２丁目,20240528,13,道路上,女性,65-69歳,なし
窃盗,ひったくり,川口,芝西,112038,埼玉県,川口市,大字小谷場,20240918,11,道路上,女性,70歳以上,あり
窃盗,ひったくり,川口,芝西,112038,埼玉県,川口市,芝塚原１丁目,20240627,23,道路上,女性,20歳代,あり
窃盗,ひったくり,川口,柳崎,112038,埼玉県,川口市,北園町,20241004,17,道路上,女性,70歳以上,あり
窃盗,ひったくり,川口,青木,112038,埼玉県,川口市,青木２丁目,20240307,1,道路上,女性,70歳以上,なし
窃盗,ひったくり,川口,芝中田,112038,埼玉県,川口市,芝下１丁目,20240821,1,道路上,女性,20歳代,あり
窃盗,ひったくり,朝霞,,112305,埼玉県,新座市,東北２丁目,20240811,17,道路上,女性,70歳以上,あり
窃盗,ひったくり,朝霞,朝霞駅前,112275,埼玉県,朝霞市,本町１丁目,20240606,21,道路上,女性,30歳代,あり
窃盗,ひったくり,朝霞,北朝霞駅前,112275,埼玉県,朝霞市,三原２丁目,20240924,10,道路上,女性,70歳以上,あり
窃盗,ひったくり,朝霞,志木駅東口,112283,埼玉県,志木市,本町３丁目,20240721,22,道路上,女性,20歳代,あり
窃盗,ひったくり,草加,八潮中央,112348,埼玉県,八潮市,中央１丁目,20241020,16,道路上,女性,70歳以上,なし
窃盗,ひったくり,草加,長栄,112216,埼玉県,草加市,清門３丁目,20241001,20,その他,女性,40歳代,あり
窃盗,ひったくり,大宮,大宮駅東口,111031,埼玉県,さいたま市大宮区,宮町３丁目,20240120,20,道路上,女性,70歳以上,あり
窃盗,ひったくり,大宮,大宮駅西口,111031,埼玉県,さいたま市大宮区,大成町２丁目,20240311,0,道路上,女性,10歳代,あり
窃盗,ひったくり,大宮,大宮駅西口,111031,埼玉県,さいたま市大宮区,大成町２丁目,20240422,22,道路上,女性,30歳代,あり
窃盗,ひったくり,大宮,宮原駅前,111023,埼玉県,さいたま市北区,宮原町３丁目,20240607,19,道路上,女性,50歳代,なし
窃盗,ひったくり,大宮,宮原駅前,111023,埼玉県,さいたま市北区,宮原町４丁目,20240303,0,道路上,女性,20歳代,あり
窃盗,ひったくり,大宮,宮原駅前,111023,埼玉県,さいたま市北区,宮原町４丁目,20240506,22,道路上,女性,50歳代,あり
窃盗,ひったくり,大宮,加茂宮,111023,埼玉県,さいたま市北区,東大成町１丁目,20240313,23,道路上,女性,20歳代,なし
窃盗,ひったくり,大宮,参道,111031,埼玉県,さいたま市大宮区,天沼町１丁目,20240313,23,道路上,女性,50歳代,あり
窃盗,ひったくり,大宮,参道,111031,埼玉県,さいたま市大宮区,天沼町２丁目,20241204,11,道路上,女性,70歳以上,あり
窃盗,ひったくり,大宮,土呂駅前,111023,埼玉県,さいたま市北区,土呂町１丁目,20240609,19,道路上,女性,20歳代,あり
窃盗,ひったくり,川越,新河岸駅前,112011,埼玉県,川越市,砂新田５丁目,20240808,21,道路上,女性,20歳代,なし
窃盗,ひったくり,川越,霞ケ関駅前,112011,埼玉県,川越市,的場北２丁目,20240116,0,道路上,女性,65-69歳,あり
窃盗,ひったくり,行田,長野,112062,埼玉県,行田市,桜町３丁目,20240707,21,その他,男性,20歳代,あり
窃盗,ひったくり,春日部,春日部駅東口,112143,埼玉県,春日部市,粕壁東１丁目,20240205,11,道路上,女性,60-64歳,あり
窃盗,ひったくり,春日部,春日部駅東口,112143,埼玉県,春日部市,粕壁１丁目,20240327,10,道路上,女性,65-69歳,あり
窃盗,ひったくり,越谷,せんげん台駅前,112224,埼玉県,越谷市,千間台東２丁目,20240506,22,道路上,女性,20歳代,あり
窃盗,ひったくり,越谷,越谷レイクタウン駅前,112224,埼玉県,越谷市,レイクタウン３丁目,20240608,14,その他,男性,30歳代,なし
窃盗,ひったくり,越谷,出羽,112224,埼玉県,越谷市,七左町７丁目,20240318,19,その他,男性,20歳代,なし
窃盗,ひったくり,久喜,久喜駅西口,112321,埼玉県,久喜市,久喜北２丁目,20240428,18,道路上,女性,70歳以上,あり
窃盗,ひったくり,吉川,戸ケ崎,112372,埼玉県,三郷市,栄５丁目,20240626,1,道路上,男性,20歳代,あり
窃盗,ひったくり,上尾,上尾駅東口,112194,埼玉県,上尾市,愛宕３丁目,20240609,14,その他,女性,70歳以上,あり
窃盗,ひったくり,東入間,みずほ台,112356,埼玉県,富士見市,東みずほ台３丁目,20240418,13,その他,男性,50歳代,なし
